Word,Frequency
wie,17
was,12
wo,10
heute,9
hause,7
nach,7
hund,7
frage,6
morgen,6
viel,6
geht,6
hier,6
bin,5
deutsch,5
uhr,5
brauche,5
habe,5
um,5
deutschland,5
home,5
stadt,4
zeit,4
gestern,4
hast,4
zug,4
tag,4
gemüse,4
bitte,4
spielen,4
kostet,4
going,4
warum,4
gehen,3
kommen,3
arbeit,3
neu,3
müde,3
wetter,3
schön,3
gehe,3
essen,3
kommt,3
neues,3
nbsp,3
sprechen,3
auto,3
frühstück,3
brot,3
fleisch,3
obst,3
bahnhof,3
hotel,3
teuer,3
zum,3
arbeite,3
im,3
suche,3
möchte,3
am,3
woher,3
gehst,3
machen,2
mann,2
frau,2
kind,2
haus,2
wenn,2
weil,2
jetzt,2
wenig,2
spät,2
sagt,2
arbeiten,2
bleiben,2
berlin,2
kaufen,2
fragen,2
laden,2
wasser,2
bier,2
wein,2
milch,2
fisch,2
suppe,2
abend,2
früh,2
flughafen,2
zimmer,2
geld,2
rechnung,2
frisch,2
kaffee,2
zehn,2
minuten,2
schönes,2
draußen,2
schließen,2
warten,2
lernen,2
schnell,2
schwierig,2
acht,2
kinder,2
interessant,2
bahn,2
straßenbahn,2
fahrkarte,2
flugzeug,2
gepäck,2
koffer,2
weg,2
links,2
geradeaus,2
danke,2
computer,2
smartphone,2
internet,2
sehr,2
hündin,2
leine,2
knochen,2
schwanz,2
rasse,2
gute,2
umzug,2
visum,2
integration,2
krankenversicherung,2
bankkonto,2
anmelden,2
nächste,2
finde,2
gibt,2
wochenende,2
schönen,2
kasse,2
angebot,2
today,2
are,2
you,2
machst,2
kannst,2
wer,2
wessen,2
wem,2
wen,2
wann,2
wohin,2
wofür,2
kommst,2
sagen,1
sehen,1
pünktlich,1
sehe,1
nichts,1
fragt,1
macht,1
lärm,1
willst,1
werde,1
bleibe,1
trinken,1
bezahlen,1
lesen,1
schreiben,1
fahren,1
nehmen,1
tisch,1
stuhl,1
bus,1
straße,1
freund,1
nacht,1
abendessen,1
mittagessen,1
salz,1
zucker,1
kaffe,1
tee,1
stunde,1
minute,1
woche,1
jahr,1
schlüssel,1
hilfe,1
trinke,1
lecker,1
gesund,1
esse,1
warm,1
treffen,1
ins,1
kino,1
ohne,1
kalt,1
gesehen,1
weiter,1
komme,1
liest,1
trinkt,1
öffnen,1
beginnen,1
enden,1
verstehen,1
erklären,1
verkaufen,1
kosten,1
billig,1
langsam,1
groß,1
klein,1
jung,1
alt,1
hässlich,1
einfach,1
öffnet,1
tür,1
film,1
beginnt,1
neun,1
party,1
endet,1
mitternacht,1
büro,1
verstehst,1
lehrer,1
erklärt,1
aufgabe,1
kaufe,1
verkauft,1
markt,1
haltestelle,1
tasche,1
rechts,1
nehme,1
hält,1
startet,1
schwer,1
lang,1
tschüss,1
hallo,1
gern,1
ja,1
nein,1
klar,1
genau,1
natürlich,1
super,1
toll,1
später,1
cloud,1
daten,1
gerät,1
benutze,1
täglich,1
wichtig,1
app,1
nützlich,1
technologie,1
entwickelt,1
sich,1
umsatz,1
konkurrenz,1
geschäfte,1
abwickeln,1
firma,1
gründen,1
halsband,1
bellen,1
welpe,1
geh,1
gassi,1
guter,1
junge,1
gib,1
bellt,1
laut,1
komm,1
her,1
liebt,1
wedelt,1
einwanderung,1
auswanderung,1
aufenthaltserlaubnis,1
anmeldung,1
abmeldung,1
mietvertrag,1
kaution,1
nachbarschaft,1
sprachkurs,1
behörde,1
formular,1
unterkunft,1
zoll,1
arbeitserlaubnis,1
wohnungssuche,1
plane,1
ziehen,1
wohnung,1
miete,1
pro,1
monat,1
eröffnen,1
bürgeramt,1
deutschkurs,1
besuchen,1
englisch,1
lange,1
dauert,1
bearbeitung,1
visums,1
über,1
arbeitserlaubnisse,1
informieren,1
organisiert,1
beim,1
einwohnermeldeamt,1
lebensqualität,1
möglichkeiten,1
zur,1
lerne,1
besser,1
integrieren,1
freue,1
darauf,1
kennenzulernen,1
freizeit,1
beruf,1
urlaub,1
reise,1
hobby,1
unterhaltung,1
sport,1
neuigkeiten,1
nicht,1
wahr,1
beruflich,1
gemacht,1
wünsche,1
entschuldigung,1
supermarkt,1
regal,1
einkaufswagen,1
abteilung,1
molkerei,1
karte,1
zahlen,1
tüte,1
produkt,1
abgelaufen,1
zurückgeben,1
fleißig,1
working,1
diligently,1
at,1
weiß,1
dass,1
know,1
that,1
he,1
is,1
why,1
alltag,1
gewohnheit,1
problem,1
lösung,1
termin,1
entscheidung,1
unterschied,1
gefühl,1
möglichkeit,1
gerade,1
gut,1
geschlafen,1
möchtest,1
lieblingsessen,1
pläne,1
helfen,1
toilette,1
antwort,1
erklärung,1
zweifel,1
bedeutet,1
wiederholen,1
man,1
richtig,1
verstanden,1
buch,1
gehört,1
suchst,1
wohnst,1
bist,1
traurig,1
brauchst,1
farbe,1
magst,1
